title	date	journal	url	EMOBON_publication
Coralline algae as a globally significant pool of marine dimethylated sulfur	2015	Global Biogeochemical Cycles	https://doi.org/10.1002/2015gb005274	No
Amphioxus as a Model for Mechanisms in Vertebrate Development	2011	Encyclopedia of Life Sciences	https://doi.org/10.1002/9780470015902.a0021773	No
Genetic Improvement of Feed Efficiency	2012	Feed Efficiency in the Beef Industry	https://doi.org/10.1002/9781118392331.ch7	No
Phylogenomics reveals an extensive history of genome duplication in diatoms (Bacillariophyta)	2018	American Journal of Botany	https://doi.org/10.1002/ajb2.1056	No
A highly efficient layered double hydroxide catalyst for direct ethoxylation of butyl acetate to oligo‐ethylene glycol butyl ether acetates	2016	Applied Organometallic Chemistry	https://doi.org/10.1002/aoc.3454	No
The commercialization and use of exotic baits in recreational fisheries in the north‐western Mediterranean: Environmental and management implications	2018	Aquatic Conservation: Marine and Freshwater Ecosystems	https://doi.org/10.1002/aqc.2873	No
Meeting report: 17th International Symposium on Bioluminescence and Chemiluminescence — ISBC 2012, Guelph, Canada	2012	Luminescence	https://doi.org/10.1002/bio.2424	No
Intracellular iron uptake is favored in Hfe‐KO mouse primary chondrocytes mimicking an osteoarthritis‐related phenotype	2019	BioFactors	https://doi.org/10.1002/biof.1520	No
Frontispiece: A Visible–Near‐Infrared Light‐Responsive Host–Guest Pair with Nanomolar Affinity in Water	2019	Chemistry – A European Journal	https://doi.org/10.1002/chem.201981461	No
Development of glycine immunoreactivity in the brain of the sea lamprey: Comparison with γ‐aminobutyric acid immunoreactivity	2008	Journal of Comparative Neurology	https://doi.org/10.1002/cne.21916	No
Development of tyrosine hydroxylase‐immunoreactive cell populations and fiber pathways in the brain of the dogfish Scyliorhinus canicula: New perspectives on the evolution of the vertebrate catecholaminergic system	2012	Journal of Comparative Neurology	https://doi.org/10.1002/cne.23114	No
Glycine‐immunoreactive neurons in the brain of a shark (Scyliorhinus canicula L.)	2013	Journal of Comparative Neurology	https://doi.org/10.1002/cne.23332	No
Development of the cerebellar afferent system in the shark Scyliorhinus canicula: Insights into the basal organization of precerebellar nuclei in gnathostomes	2013	Journal of Comparative Neurology	https://doi.org/10.1002/cne.23393	No
An improved protocol for flow cytometry analysis of phytoplankton cultures and natural samples	2014	Cytometry Part A	https://doi.org/10.1002/cyto.a.22517	No
The dynamic nitric oxide pattern in developing cuttlefish Sepia officinalis	2012	Developmental Dynamics	https://doi.org/10.1002/dvdy.23722	No
Staging and normal table of postembryonic development of the clownfish (Amphiprion ocellaris)	2019	Developmental Dynamics	https://doi.org/10.1002/dvdy.46	No
Pattern and process during sea urchin gut morphogenesis: The regulatory landscape	2014	genesis	https://doi.org/10.1002/dvg.22738	No
Oikopleura dioica culturing made easy: A Low‐Cost facility for an emerging animal model in EvoDevo	2014	genesis	https://doi.org/10.1002/dvg.22800	No
Mutation studies in ascidians: A review	2014	genesis	https://doi.org/10.1002/dvg.22837	No
Intraspecific variability in the response of bloom‐forming marine microalgae to changed climate conditions	2012	Ecology and Evolution	https://doi.org/10.1002/ece3.245	No
Effects of CO2 enrichment on photosynthesis, growth, and nitrogen metabolism of the seagrass Zostera noltii	2012	Ecology and Evolution	https://doi.org/10.1002/ece3.333	No
Elevated CO2 affects embryonic development and larval phototaxis in a temperate marine fish	2013	Ecology and Evolution	https://doi.org/10.1002/ece3.709	No
Northern refugia and recent expansion in the North Sea: the case of the wrasse Symphodus melops (Linnaeus, 1758)	2011	Ecology and Evolution	https://doi.org/10.1002/ece3.77	No
Increasing pCO2 correlates with low concentrations of intracellular dimethylsulfoniopropionate in the sea anemone Anemonia viridis	2014	Ecology and Evolution	https://doi.org/10.1002/ece3.946	No
Effects of environmental regimens on the toxin profile of Alexandrium ostenfeldii	2009	Environmental Toxicology and Chemistry	https://doi.org/10.1002/etc.41	No
Hox and ParaHox gene expression in early body plan patterning of polyplacophoran mollusks	2016	Journal of Experimental Zoology Part B: Molecular and Developmental Evolution	https://doi.org/10.1002/jez.b.22671	No
Myoanatomy of Myzostoma cirriferum (Annelida, Myzostomida): Implications for the evolution of the Myzostomid body plan	2013	Journal of Morphology	https://doi.org/10.1002/jmor.20151	No
Brain anatomy of the marine tardigrade Actinarctus doryphorus (arthrotardigrada)	2013	Journal of Morphology	https://doi.org/10.1002/jmor.20207	No
Paternal energetic investments in copepods	2015	Limnology and Oceanography	https://doi.org/10.1002/lno.10229	No
Dimethylated sulfur compounds in symbiotic protists: A potentially significant source for marine DMS(P)	2017	Limnology and Oceanography	https://doi.org/10.1002/lno.10491	No
Prey taxonomy rather than size determines salp diets	2019	Limnology and Oceanography	https://doi.org/10.1002/lno.11165	No
Quantifying the temperature dependence of growth rate in marine phytoplankton within and across species	2019	Limnology and Oceanography	https://doi.org/10.1002/lno.11170	No
Susceptibility of algae to Cr toxicity reveals contrasting metal management strategies	2019	Limnology and Oceanography	https://doi.org/10.1002/lno.11183	No
Particulate inorganic to organic carbon production as a predictor for coccolithophorid sensitivity to ongoing ocean acidification	2019	Limnology and Oceanography Letters	https://doi.org/10.1002/lol2.10105	No
Capacity of the common Arctic picoeukaryote Micromonas to adapt to a warming ocean	2019	Limnology and Oceanography Letters	https://doi.org/10.1002/lol2.10133	No
A fast and direct liquid chromatography‐mass spectrometry method to detect and quantify polyunsaturated aldehydes and polar oxylipins in diatoms	2016	Limnology and Oceanography: Methods	https://doi.org/10.1002/lom3.10143	No
Recommendations for obtaining unbiased chlorophyll estimates from in situ chlorophyll fluorometers: A global analysis of WET Labs ECO sensors	2017	Limnology and Oceanography: Methods	https://doi.org/10.1002/lom3.10185	No
Proteome map of the neural complex of the tunicate Ciona intestinalis, the closest living relative to vertebrates	2013	PROTEOMICS	https://doi.org/10.1002/pmic.201200148	No
Emergence of Embryo Shape During Cleavage Divisions	2019	Results and Problems in Cell Differentiation,Evo-Devo: Non-model Species in Cell and Developmental Biology	https://doi.org/10.1007/978-3-030-23459-1_6	No
The OpenAIRE Research Community Dashboard: On Blending Scientific Workflows and Scientific Publishing	2019	Lecture Notes in Computer Science,Digital Libraries for Open Knowledge	https://doi.org/10.1007/978-3-030-30760-8_5	No
Pituitary Adenylate Cyclase Activating Polypeptide (PACAP) in Migraine Pathophysiology	2016	Current Topics in Neurotoxicity,Pituitary Adenylate Cyclase Activating Polypeptide — PACAP	https://doi.org/10.1007/978-3-319-35135-3_35	No
From Prototype to Product	2017	MEMS Lorentz Force Magnetometers	https://doi.org/10.1007/978-3-319-59412-5_10	No
The European Marine Biological Research Infrastructure Cluster: An Alliance of European Research Infrastructures to Promote the Blue Bioeconomy	2018	Grand Challenges in Biology and Biotechnology,Grand Challenges in Marine Biotechnology	https://doi.org/10.1007/978-3-319-69075-9_10	No
Regulating Resilience	2018	Molecular Basis of Resilience	https://doi.org/10.1007/978-3-319-98164-2_12	No
Provenance Management for Data Exploration	2010	Lecture Notes in Computer Science,Data Integration in the Life Sciences	https://doi.org/10.1007/978-3-642-15120-0_1	No
Core Fields of the RLS Framework	2010	Responsible Leadership Systems	https://doi.org/10.1007/978-3-8349-8675-7_9	No
Photosymbiosis in Marine Planktonic Protists	2015	Marine Protists	https://doi.org/10.1007/978-4-431-55130-0_19	No
Basal Lineages of Green Algae – Their Diversity and Phylogeny	2015	Marine Protists	https://doi.org/10.1007/978-4-431-55130-0_5	No
Establishment of Highly Efficient Somatic Cell Reprogramming System to Generate iPSC Lines	2014	Springer Theses,Studies of Pluripotency in Embryonic Stem Cells and Induced Pluripotent Stem Cells	https://doi.org/10.1007/978-94-017-8819-9_3	No
Phenotypic Plasticity: From Microevolution to Macroevolution	2014	Handbook of Evolutionary Thinking in the Sciences	https://doi.org/10.1007/978-94-017-9014-7_14	No
Comparative analysis of zebrafish bone morphogenetic proteins 2, 4 and 16: molecular and evolutionary perspectives	2015	Cellular and Molecular Life Sciences	https://doi.org/10.1007/s00018-015-2024-x	No
Removal and Biodegradation of Phenanthrene, Fluoranthene and Pyrene by the Marine Algae Rhodomonas baltica Enriched from North Atlantic Coasts	2016	Bulletin of Environmental Contamination and Toxicology	https://doi.org/10.1007/s00128-016-1967-4	No
Early reproductive stages in the crustose coralline alga Phymatolithon lenormandii are strongly affected by mild ocean acidification	2013	Marine Biology	https://doi.org/10.1007/s00227-013-2260-2	No
Distribution of the Lamellibrachia spp. (Siboglinidae, Annelida) and their trophosome endosymbiont phylotypes in the Mediterranean Sea	2014	Marine Biology	https://doi.org/10.1007/s00227-014-2413-y	No
Relevance of wound-activated compounds produced by diatoms as toxins and infochemicals for benthic invertebrates	2014	Marine Biology	https://doi.org/10.1007/s00227-014-2448-0	No
One size fits all: stability of metabolic scaling under warming and ocean acidification in echinoderms	2014	Marine Biology	https://doi.org/10.1007/s00227-014-2493-8	No
Escape performance of temperate king scallop, Pecten maximus under ocean warming and acidification	2014	Marine Biology	https://doi.org/10.1007/s00227-014-2548-x	No
Ocean acidification elicits different energetic responses in an Arctic and a boreal population of the copepod Pseudocalanus acuspes	2015	Marine Biology	https://doi.org/10.1007/s00227-015-2625-9	No
Detection of periodic Sr Ca−1 cycles along gastropod statoliths allows the accurate estimation of age	2015	Marine Biology	https://doi.org/10.1007/s00227-015-2684-y	No
Metabolic responses to high pCO2 conditions at a CO2 vent site in juveniles of a marine isopod species assemblage	2016	Marine Biology	https://doi.org/10.1007/s00227-016-2984-x	No
A synthesis of European seahorse taxonomy, population structure, and habitat use as a basis for assessment, monitoring and conservation	2017	Marine Biology	https://doi.org/10.1007/s00227-017-3274-y	No
Compared stress tolerance to short-term exposure in native and invasive tunicates from the NE Atlantic: when the invader performs better	2018	Marine Biology	https://doi.org/10.1007/s00227-018-3420-1	No
Within- and among-leaf variations in photo-physiological functions, gene expression and DNA methylation patterns in the large-sized seagrass Posidonia oceanica	2019	Marine Biology	https://doi.org/10.1007/s00227-019-3482-8	No
Impacts of reduced inorganic N:P ratio on three distinct plankton communities in the Humboldt upwelling system	2019	Marine Biology	https://doi.org/10.1007/s00227-019-3561-x	No
A Deviant Genetic Code in the Reduced Mitochondrial Genome of the Picoplanktonic Green Alga Pycnococcus provasolii	2010	Journal of Molecular Evolution	https://doi.org/10.1007/s00239-010-9322-6	No
Changes in Microbial Communities Associated with the Sea Anemone Anemonia viridis in a Natural pH Gradient	2012	Microbial Ecology	https://doi.org/10.1007/s00248-012-0127-6	No
Effects of Grazer Presence on Genetic Structure of a Phenotypically Diverse Diatom Population	2013	Microbial Ecology	https://doi.org/10.1007/s00248-013-0327-8	No
Enriched hydrogen-oxidizing microbiomes show a high diversity of co-existing hydrogen-oxidizing bacteria	2019	Applied Microbiology and Biotechnology	https://doi.org/10.1007/s00253-019-10082-z	No
