title	date	journal	url	EMOBON_publication
Amphioxus neuroglia: Molecular characterization and evidence for early compartmentalization of the developing nerve cord	2021	Glia	https://doi.org/10.1002/glia.23982	No
Embryotoxicity characterization of the flame retardant tris(1‐chloro‐2‐propyl)phosphate (TCPP) in the invertebrate chordate Ciona intestinalis	2021	Journal of Experimental Zoology Part A: Ecological and Integrative Physiology	https://doi.org/10.1002/jez.2446	No
Carbon and nitrogen content to biovolume relationships for marine protist of the Rhizaria lineage (Radiolaria and Phaeodaria)	2021	Limnology and Oceanography	https://doi.org/10.1002/lno.11714	No
Photo-physiology and morphology reveal divergent warming responses in northern and southern hemisphere seagrasses	2021	Marine Biology	https://doi.org/10.1007/s00227-021-03940-w	No
Effect of pluronic block polymers and N-acetylcysteine culture media additives on growth rate and fatty acid composition of six marine microalgae species	2021	Applied Microbiology and Biotechnology	https://doi.org/10.1007/s00253-021-11147-8	No
The Ethyl Acetate Extract of the Marine Edible Gastropod Haliotis tuberculata coccinea: a Potential Source of Bioactive Compounds	2021	Marine Biotechnology	https://doi.org/10.1007/s10126-021-10073-0	No
Eustigmatophyte strains with potential interest in cancer prevention and treatment: partial chemical characterization and evaluation of cytotoxic and antioxidant activity	2021	Biotechnology Letters	https://doi.org/10.1007/s10529-021-03122-0	No
Pigments from Eustigmatophyceae: an interesting class of microalgae for carotenoid production	2021	Journal of Applied Phycology	https://doi.org/10.1007/s10811-020-02312-z	No
Biodegradable, metal-chelating compounds as alternatives to EDTA for cultivation of marine microalgae	2021	Journal of Applied Phycology	https://doi.org/10.1007/s10811-021-02583-0	No
Pheromone Mediated Sexual Reproduction of Pennate Diatom Cylindrotheca Closterium	2021	Research Square	https://doi.org/10.21203/rs.3.rs-183098/v1	No
French Mediterranean and Atlantic populations of the brown algal genus Taonia (Dictyotales) display differences in phylogeny, surface metabolomes and epibacterial communities	2021	Algal Research	https://doi.org/10.1016/j.algal.2021.102452	No
Characterizing algal microbiomes using long-read nanopore sequencing	2021	Algal Research	https://doi.org/10.1016/j.algal.2021.102456	No
High-content analysis of larval phenotypes for the screening of xenobiotic toxicity using Phallusia mammillata embryos	2021	Aquatic Toxicology	https://doi.org/10.1016/j.aquatox.2021.105768	No
A genetically tractable jellyfish model for systems and evolutionary neuroscience	2021	Cell	https://doi.org/10.1016/j.cell.2021.10.021	No
Identifying the minimum amplicon sequence depth to adequately predict classes in eDNA-based marine biomonitoring using supervised machine learning	2021	Computational and Structural Biotechnology Journal	https://doi.org/10.1016/j.csbj.2021.04.005	No
Cell geometry, signal dampening, and a bimodal transcriptional response underlie the spatial precision of an ERK-mediated embryonic induction	2021	Developmental Cell	https://doi.org/10.1016/j.devcel.2021.09.025	No
Short-term lethal and sublethal atrazine effects on Litoditis marina: towards a nematode model for marine toxicity assessment?	2021	Ecological Indicators	https://doi.org/10.1016/j.ecolind.2021.107642	No
Allometric scaling of faunal-mediated ecosystem functioning: A case study on two bioturbators in contrasting sediments	2021	Estuarine, Coastal and Shelf Science	https://doi.org/10.1016/j.ecss.2021.107323	No
Laminaria kelps impact iodine speciation chemistry in coastal seawater	2021	Estuarine, Coastal and Shelf Science	https://doi.org/10.1016/j.ecss.2021.107531	No
Predicted regime shift in the seagrass ecosystem of the Gulf of Arguin driven by climate change	2021	Global Ecology and Conservation	https://doi.org/10.1016/j.gecco.2021.e01890	No
Comparing sediment preservation methods for genomic biomonitoring of coastal marine ecosystems	2021	Marine Pollution Bulletin	https://doi.org/10.1016/j.marpolbul.2021.113129	No
Latitudinal gradient of copepod functional diversity in the South Atlantic Ocean	2021	Progress in Oceanography	https://doi.org/10.1016/j.pocean.2021.102710	No
Fatty acid profiles of three commercial shrimp from southeastern Brazil	2021	Regional Studies in Marine Science	https://doi.org/10.1016/j.rsma.2021.102032	No
Faunal and environmental drivers of carbon and nitrogen cycling along a permeability gradient in shallow North Sea sediments	2021	Science of The Total Environment	https://doi.org/10.1016/j.scitotenv.2021.144994	No
Assessing the ecological quality status of the highly polluted Bagnoli area (Tyrrhenian Sea, Italy) using foraminiferal eDNA metabarcoding	2021	Science of The Total Environment	https://doi.org/10.1016/j.scitotenv.2021.147871	No
Ocean warming and freshening effects on lipid metabolism in coastal Antarctic phytoplankton assemblages dominated by sub-Antarctic species	2021	Science of The Total Environment	https://doi.org/10.1016/j.scitotenv.2021.147879	No
Tetrabromobisphenol A acts a neurodevelopmental disruptor in early larval stages of Mytilus galloprovincialis	2021	Science of The Total Environment	https://doi.org/10.1016/j.scitotenv.2021.148596	No
Expansion of Mnemiopsis leidyi in the French Mediterranean lagoons along the Gulf of Lion	2021	Journal of Sea Research	https://doi.org/10.1016/j.seares.2021.101995	No
Roseomonas hellenica sp. nov., isolated from roots of wild-growing Alkanna tinctoria	2021	Systematic and Applied Microbiology	https://doi.org/10.1016/j.syapm.2021.126206	No
Description and functional testing of four species of the novel phototrophic genus Chioneia gen. nov., isolated from different East Antarctic environments	2021	Systematic and Applied Microbiology	https://doi.org/10.1016/j.syapm.2021.126250	No
Sea Spray Aerosols Contain the Major Component of Human Lung Surfactant	2021	Environmental Science & Technology	https://doi.org/10.1021/acs.est.1c04075	No
Toward Light-Controlled Supramolecular Peptide Dimerization	2021	The Journal of Organic Chemistry	https://doi.org/10.1021/acs.joc.1c00464	No
Synthesis of Non-symmetrical Dispiro-1,2,4,5-Tetraoxanes and Dispiro-1,2,4-Trioxanes Catalyzed by Silica Sulfuric Acid	2021	The Journal of Organic Chemistry	https://doi.org/10.1021/acs.joc.1c01258	No
Reactive oxygen species rescue regeneration after silencing the MAPK–ERK signaling pathway in Schmidtea mediterranea	2021	Scientific Reports	https://doi.org/10.1038/s41598-020-79588-1	No
Light intensity and spectral composition drive reproductive success in the marine benthic diatom Seminavis robusta	2021	Scientific Reports	https://doi.org/10.1038/s41598-021-92838-0	No
Larval cryopreservation as new management tool for threatened clam fisheries	2021	Scientific Reports	https://doi.org/10.1038/s41598-021-94197-2	No
HES and Mox genes are expressed during early mesoderm formation in a mollusk with putative ancestral features	2021	Scientific Reports	https://doi.org/10.1038/s41598-021-96711-y	No
Molecular bases of an alternative dual-enzyme system for light color acclimation of marine Synechococcus cyanobacteria	2021	Proceedings of the National Academy of Sciences	https://doi.org/10.1073/pnas.2019715118	No
Faculty Opinions recommendation of Inferring the deep past from molecular data.	2021	Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature	https://doi.org/10.3410/f.739827207.793587269	No
Myth-busting the provider-user relationship for digital sequence information	2021	GigaScience	https://doi.org/10.1093/gigascience/giab085	No
Spirosoma utsteinense sp. nov. isolated from Antarctic ice-free soils from the Utsteinen region, East Antarctica	2021	International Journal of Systematic and Evolutionary Microbiology	https://doi.org/10.1099/ijsem.0.004754	No
A morphological and molecular reinvestigation of Janickina pigmentifera (Grassi, 1881) Chatton 1953 – an amoebozoan parasite of arrow-worms (Chaetognatha)	2021	International Journal of Systematic and Evolutionary Microbiology	https://doi.org/10.1099/ijsem.0.005094	No
Synergistic effects of temperature and light affect the relationship between Taonia atomaria and its epibacterial community: a controlled conditions study	2021	Environmental Microbiology	https://doi.org/10.1111/1462-2920.15758	No
Subcellular architecture and metabolic connection in the planktonic photosymbiosis between Collodaria (radiolarians) and their microalgae	2021	Environmental Microbiology	https://doi.org/10.1111/1462-2920.15766	No
Quorum sensing disruption regulates hydrolytic enzyme and biofilm production in estuarine bacteria	2021	Environmental Microbiology	https://doi.org/10.1111/1462-2920.15775	No
“Urchin pinning”: Behavioural observations reveal how hungry urchins actively prey upon their sea star predators	2021	Ethology	https://doi.org/10.1111/eth.13147	No
Ecdysis‐related neuropeptide expression and metamorphosis in a non‐ecdysozoan bilaterian	2021	Evolution	https://doi.org/10.1111/evo.14308	No
Distinctive genetic signatures of two fairy shrimp species with overlapping ranges in Iberian temporary ponds	2021	Freshwater Biology	https://doi.org/10.1111/fwb.13782	No
Timing strains of the marine insect Clunio marinus diverged and persist with gene flow	2021	Molecular Ecology	https://doi.org/10.1111/mec.15791	No
Whole-animal multiplexed single-cell RNA-seq reveals transcriptional shifts  cell types	2021	Science Advances	https://doi.org/10.1126/sciadv.abh1683	No
Biosynthesis of Ditropolonyl Sulfide, an Antibacterial Compound Produced by Burkholderia cepacia Complex Strain R-12632	2021	Applied and Environmental Microbiology	https://doi.org/10.1128/aem.01169-21	No
The genus Cystoseira s.l. (Ochrophyta, Fucales, Sargassaceae) in the Black Sea: morphological variability and molecular taxonomy of Gongolaria barbata and endemic Ericaria crinita f. bosphorica comb. nov.	2021	Phytotaxa	https://doi.org/10.11646/phytotaxa.480.1.1	No
Description and distribution of Erebussau nom. nov. pro Erebus Bussau, 1993 nec Erebus Latreille, 1810 with description of a new specie, and of Odetenema gesarae gen. nov., sp. nov. (Nematoda: Desmoscolecida) from nodule-bearing abyssal sediments in the Pacific	2021	Zootaxa	https://doi.org/10.11646/zootaxa.4903.4.4	No
A revision of the genus Cheliplana de Beauchamp, 1927 (Rhabdocoela: Schizorhynchia), with the description of six new species	2021	Zootaxa	https://doi.org/10.11646/zootaxa.4970.3.2	No
Facilitating population genomics of non-model organisms through optimized experimental design for reduced representation sequencing	2021	BMC Genomics	https://doi.org/10.1186/s12864-021-07917-3	No
